"1 Ancient Tomb 1 Barbarian Ring 1 Bojuka Bog 4 Crop Rotation 1 Crucible of Worlds 4 Dark Depths 1 Drop of Honey 4 Exploration 1 Forest 4 Gamble 1 Glacial Chasm 3 Grove of the Burnwillows 1 Horizon Canopy 1 Karakas 3 Krosan Grip 4 Life from the Loam 1 Manabond 3 Maze of Ith 1 Molten Vortex 4 Mox Diamond 1 Pithing Needle 3 Punishing Fire 4 Rishadan Port 1 Sheltered Thicket 4 Sphere of Resistance 1 Surgical Extraction 2 Taiga 1 The Tabernacle at Pendrell Vale 4 Thespian's Stage 2 Tireless Tracker 1 Tranquil Thicket 1 Trinisphere 1 Verdant Catacombs 4 Wasteland 1 Wooded Foothills"
"1 All Is Dust 4 Ancient Tomb 4 Cavern of Souls 4 Chalice of the Void 3 City of Traitors 2 Dismember 4 Eldrazi Mimic 4 Eldrazi Temple 2 Endbringer 4 Endless One 3 Eye of Ugin 1 Karakas 1 Karakas 4 Leyline of the Void 4 Matter Reshaper 2 Mishra's Factory 2 Oblivion Sower 2 Ratchet Bomb 4 Reality Smasher 3 Simian Spirit Guide 3 Thorn of Amethyst 4 Thought-Knot Seer 2 Umezawa's Jitte 1 Urborg, Tomb of Yawgmoth 2 Walking Ballista 2 Warping Wail 3 Wasteland"
"4 Aether Vial 1 Batterskull 1 Cavern of Souls 1 Containment Priest 2 Council's Judgment 2 Ethersworn Canonist 4 Flickerwisp 2 Gideon, Ally of Zendikar 1 Grafdigger's Cage 1 Horizon Canopy 3 Karakas 2 Mirran Crusader 4 Mother of Runes 2 Path to Exile 3 Phyrexian Revoker 9 Plains 2 Recruiter of the Guard 3 Rest in Peace 4 Rishadan Port 1 Sanctum Prelate 1 Sanctum Prelate 3 Serra Avenger 4 Stoneforge Mystic 1 Sword of Fire and Ice 1 Sword of Light and Shadow 4 Swords to Plowshares 4 Thalia, Guardian of Thraben 1 Umezawa's Jitte 4 Wasteland"
"4 Aether Vial 1 Batterskull 2 Cavern of Souls 1 Containment Priest 2 Council's Judgment 2 Ethersworn Canonist 2 Faerie Macabre 3 Flickerwisp 2 Gideon, Ally of Zendikar 1 Grafdigger's Cage 2 Horizon Canopy 3 Karakas 2 Mirran Crusader 4 Mother of Runes 2 Path to Exile 3 Phyrexian Revoker 1 Pithing Needle 8 Plains 2 Recruiter of the Guard 1 Rest in Peace 4 Rishadan Port 2 Sanctum Prelate 2 Serra Avenger 4 Stoneforge Mystic 1 Sword of Fire and Ice 4 Swords to Plowshares 4 Thalia, Guardian of Thraben 1 Umezawa's Jitte 1 Vryn Wingmare 4 Wasteland"
"1 Arcane Laboratory 1 Back to Basics 4 Brainstorm 1 Council's Judgment 2 Counterspell 1 Detention Sphere 3 Energy Field 2 Engineered Explosives 2 Enlightened Tutor 1 Ethersworn Canonist 4 Flooded Strand 4 Force of Will 1 Gideon, Ally of Zendikar 2 Helm of Obedience 1 Humility 7 Island 3 Jace, the Mind Sculptor 1 Karakas 1 Luminarch Ascension 2 Meddling Mage 2 Mindbreak Trap 3 Monastery Mentor 1 Pithing Needle 3 Plains 4 Ponder 4 Rest in Peace 3 Scalding Tarn 3 Supreme Verdict 2 Swords to Plowshares 2 Swords to Plowshares 3 Tundra 1 Volcanic Island"
"2 Ancient Grudge 4 Brainstorm 2 Cabal Therapy 4 Daze 4 Deathrite Shaman 4 Delver of Secrets 1 Dread of Night 4 Flooded Strand 1 Flusterstorm 4 Force of Will 1 Forked Bolt 4 Gitaxian Probe 1 Grafdigger's Cage 2 Gurmag Angler 1 Hydroblast 4 Lightning Bolt 2 Misty Rainforest 1 Null Rod 1 Pithing Needle 2 Polluted Delta 4 Ponder 2 Pyroblast 1 Spell Pierce 1 Spell Pierce 1 Sulfur Elemental 2 Surgical Extraction 1 Tropical Island 2 Underground Sea 1 Vendilion Clique 3 Volcanic Island 4 Wasteland 4 Young Pyromancer"
"1 Arid Mesa 4 Brainstorm 1 Council's Judgment 1 Council's Judgment 3 Counterbalance 2 Counterspell 2 Disenchant 1 Entreat the Angels 4 Flooded Strand 3 Flusterstorm 4 Force of Will 4 Island 3 Jace, the Mind Sculptor 1 Misty Rainforest 2 Monastery Mentor 2 Plains 1 Polluted Delta 4 Ponder 3 Portent 2 Predict 2 Pyroblast 1 Red Elemental Blast 1 Scalding Tarn 2 Search for Azcanta 3 Snapcaster Mage 1 Snapcaster Mage 3 Surgical Extraction 4 Swords to Plowshares 4 Terminus 3 Tundra 3 Volcanic Island"
"4 Aether Vial 1 Batterskull 2 Cataclysm 2 Containment Priest 2 Council's Judgment 1 Ethersworn Canonist 1 Faerie Macabre 4 Flickerwisp 2 Ghost Quarter 2 Gideon, Ally of Zendikar 3 Karakas 1 Mirran Crusader 4 Mother of Runes 4 Phyrexian Revoker 10 Plains 2 Recruiter of the Guard 2 Rest in Peace 4 Rishadan Port 1 Sanctum Prelate 2 Serra Avenger 1 Spirit of the Labyrinth 4 Stoneforge Mystic 1 Surgical Extraction 1 Sword of Fire and Ice 1 Sword of Light and Shadow 4 Swords to Plowshares 4 Thalia, Guardian of Thraben 1 Umezawa's Jitte 4 Wasteland"
"2 Abrupt Decay 2 Bayou 1 Blue Elemental Blast 4 Brainstorm 4 Daze 4 Deathrite Shaman 4 Delver of Secrets 1 Dread of Night 3 Fatal Push 2 Flusterstorm 4 Force of Will 1 Golgari Charm 1 Grafdigger's Cage 4 Hymn to Tourach 1 Invasive Surgery 1 Jace, the Mind Sculptor 2 Liliana of the Veil 4 Misty Rainforest 1 Null Rod 2 Polluted Delta 4 Ponder 1 Spell Pierce 2 Surgical Extraction 1 Sylvan Library 4 Tarmogoyf 1 Tombstalker 1 Toxic Deluge 1 Tropical Island 3 Underground Sea 1 Vendilion Clique 4 Verdant Catacombs 4 Wasteland"
"1 Abrade 3 Ancient Tomb 1 Ashen Rider 2 Blood Moon 4 Brainstorm 2 City of Traitors 2 Defense Grid 4 Emrakul, the Aeons Torn 1 Flooded Strand 2 Flusterstorm 4 Force of Will 2 Grafdigger's Cage 4 Griselbrand 3 Island 4 Leyline of Sanctity 4 Lotus Petal 2 Misty Rainforest 1 Mountain 4 Ponder 3 Preordain 2 Pyroclasm 4 Scalding Tarn 4 Show and Tell 4 Sneak Attack 2 Spell Pierce 2 Through the Breach 3 Volcanic Island 1 Wipe Away"
"1 Abrupt Decay 1 Badlands 4 Baleful Strix 1 Bayou 1 Bloodstained Mire 4 Brainstorm 4 Deathrite Shaman 2 Diabolic Edict 2 Fatal Push 2 Flusterstorm 4 Force of Will 1 Hydroblast 2 Hymn to Tourach 1 Hymn to Tourach 1 Island 2 Jace, the Mind Sculptor 1 Kess, Dissident Mage 2 Kolaghan's Command 2 Leovold, Emissary of Trest 2 Lightning Bolt 1 Liliana, the Last Hope 1 Marsh Casualties 2 Misty Rainforest 1 Nihil Spellbomb 4 Polluted Delta 4 Ponder 2 Pyroblast 2 Scalding Tarn 3 Snapcaster Mage 1 Spell Pierce 2 Surgical Extraction 1 Swamp 2 Thoughtseize 1 Toxic Deluge 1 Tropical Island 1 Umezawa's Jitte 3 Underground Sea 1 Verdant Catacombs 2 Volcanic Island"
"1 Barbarian Ring 1 Bojuka Bog 4 Crop Rotation 4 Dark Depths 1 Drop of Honey 4 Exploration 1 Forest 4 Gamble 2 Ghost Quarter 1 Glacial Chasm 2 Grove of the Burnwillows 1 Karakas 3 Krosan Grip 4 Life from the Loam 1 Manabond 3 Maze of Ith 1 Mishra's Factory 1 Molten Vortex 4 Mox Diamond 4 Punishing Fire 2 Rishadan Port 2 Seismic Assault 1 Song of the Dryads 4 Sphere of Resistance 2 Taiga 1 The Tabernacle at Pendrell Vale 4 Thespian's Stage 2 Tireless Tracker 2 Tranquil Thicket 4 Wasteland 2 Wooded Foothills 2 Zuran Orb"
