"3 Abrade 1 Aethersphere Harvester 1 Angrath, the Flame-Chained 4 Bomat Courier 4 Canyon Slough 2 Chandra, Torch of Defiance 1 Chandra, Torch of Defiance 1 Cut/Ribbons 1 Doomfall 4 Dragonskull Summit 3 Duress 1 Glorybringer 2 Glorybringer 4 Goblin Chainwhirler 3 Heart of Kiran 1 Hour of Glory 3 Inventor's Apprentice 2 Karn, Scion of Urza 2 Magma Spray 11 Mountain 1 Mountain 2 Pia Nalaar 4 Scrapheap Scrounger 2 Siege-Gang Commander 4 Spire of Industry 1 Swamp 4 Unlicensed Disintegration 3 Walking Ballista"
"4 Abrade 1 Aether Hub 1 Angrath, the Flame-Chained 4 Canyon Slough 2 Chandra's Defeat 2 Chandra, Torch of Defiance 1 Chandra, Torch of Defiance 2 Cinder Barrens 1 Cut/Ribbons 1 Doomfall 4 Dragonskull Summit 3 Duress 1 Fiery Cannonade 2 Glorybringer 1 Glorybringer 4 Goblin Chainwhirler 3 Heart of Kiran 1 Heartless Pillage 2 Karn, Scion of Urza 1 Karn, Scion of Urza 2 Magma Spray 11 Mountain 2 Pia Nalaar 2 Rekindling Phoenix 1 Release the Gremlins 4 Scrapheap Scrounger 3 Soul-Scar Mage 2 Spire of Industry 1 Swamp 3 Unlicensed Disintegration 1 Vraska's Contempt 2 Walking Ballista"
"4 Aether Hub 1 Aethersphere Harvester 1 Arguel's Blood Fast 1 Arguel's Blood Fast 2 Cast Down 3 Champion of Wits 2 Deadeye Tracker 2 Doomfall 4 Drowned Catacomb 3 Duress 4 Fatal Push 4 Fetid Pools 2 Field of Ruin 2 Forsake the Worldly 4 Gifted Aetherborn 4 Glint-Sleeve Siphoner 3 Irrigated Farmland 2 Island 2 Karn, Scion of Urza 1 Liliana, Death's Majesty 3 Negate 3 Ravenous Chupacabra 7 Swamp 2 Teferi, Hero of Dominaria 3 The Scarab God 2 Vraska's Contempt 2 Vraska's Contempt 2 Walking Ballista"
"3 Aethersphere Harvester 1 Arch of Orazca 4 Blooming Marsh 2 Bontu the Glorified 2 Crook of Condemnation 4 Duress 8 Forest 2 Fungal Plots 3 Growing Rites of Itlimoc 1 Journey to Eternity 4 Llanowar Elves 2 Lost Legacy 1 Naturalize 1 Nissa, Vital Force 2 Plummet 4 Saproling Migration 3 Slimefoot, the Stowaway 3 Spore Swarm 4 Sporecrown Thallid 5 Swamp 2 Tendershoot Dryad 2 Thrashing Brontodon 4 Vicious Offering 4 Woodland Cemetery 4 Yavimaya Sapherd"
"2 Approach of the Second Sun 2 Authority of the Consuls 1 Cast Down 2 Cast Out 4 Concealed Courtyard 3 Disallow 4 Doomfall 4 Drowned Catacomb 4 Duress 3 Essence Scatter 1 Fetid Pools 1 Field of Ruin 2 Fumigate 4 Glacial Fortress 2 Glimmer of Genius 3 Invoke the Divine 2 Ipnu Rivulet 3 Irrigated Farmland 2 Island 2 Isolated Chapel 2 Karn, Scion of Urza 2 Negate 2 Negate 1 Plains 2 Seal Away 1 Search for Azcanta 3 Settle the Wreckage 1 Supreme Will 1 Swamp 2 Syncopate 2 Teferi, Hero of Dominaria 2 The Scarab God 2 Torrential Gearhulk 1 Vraska's Contempt"
"4 Abrade 3 Ahn-Crop Crasher 4 Bomat Courier 2 Cast Out 1 Chandra, Torch of Defiance 4 Clifftop Retreat 4 Earthshaker Khenra 2 Fight with Fire 3 Fumigate 3 Gideon of the Trials 2 Goblin Chainwhirler 1 Goblin Chainwhirler 3 Hazoret the Fervent 4 Inspiring Vantage 2 Kari Zev, Skyship Raider 4 Lyra Dawnbringer 9 Mountain 4 Path of Mettle 2 Pia Nalaar 6 Plains 1 Scavenger Grounds 3 Seal Away 2 Settle the Wreckage 2 Shalai, Voice of Plenty"
"1 Aether Hub 4 Blooming Marsh 4 Botanical Sanctum 2 Carnage Tyrant 3 Commit/Memory 2 Crushing Canopy 2 Deathgorge Scavenger 2 Deep Freeze 8 Forest 2 Ghalta, Primal Hunger 4 Heart of Kiran 4 Hinterland Harbor 2 Karn, Scion of Urza 4 Llanowar Elves 4 Merfolk Branchwalker 3 Negate 3 Nissa, Steward of Elements 4 Scrapheap Scrounger 2 Spire of Industry 4 Steel Leaf Champion 3 Thrashing Brontodon 2 Time of Ice 2 Walking Ballista 2 Walking Ballista 2 Zahid, Djinn of the Lamp"
"4 Aethersphere Harvester 2 Cast Down 2 Crook of Condemnation 2 Doomfall 4 Dread Shade 4 Dread Wanderer 4 Duress 4 Fatal Push 4 Gifted Aetherborn 2 Gonti, Lord of Luxury 2 Gonti, Lord of Luxury 4 Ifnir Deadlands 2 Moment of Craving 4 Night Market Lookout 4 Scrapheap Scrounger 18 Swamp 1 Swamp 4 Walk the Plank 4 Walking Ballista"
"4 Aether Hub 2 Aether Meltdown 4 Aethersphere Harvester 4 Botanical Sanctum 1 Bounty of the Luxa 3 Bristling Hydra 1 Bristling Hydra 1 Commit/Memory 2 Confiscation Coup 2 Confiscation Coup 9 Forest 2 Hashep Oasis 4 Heart of Kiran 4 Hinterland Harbor 1 Island 3 Karn, Scion of Urza 1 Karn, Scion of Urza 4 Llanowar Elves 2 Negate 1 Nezahal, Primal Tide 2 Nissa, Steward of Elements 2 Rhonas the Indomitable 4 Servant of the Conduit 1 Spell Pierce 4 Steel Leaf Champion 1 Thrashing Brontodon 1 Treasure Map 3 Walking Ballista 2 Zahid, Djinn of the Lamp"
"3 Abrade 1 Abrade 1 Angrath, the Flame-Chained 4 Bomat Courier 4 Canyon Slough 1 Chandra's Defeat 3 Chandra, Torch of Defiance 3 Doomfall 4 Dragonskull Summit 1 Duress 1 Glorybringer 4 Goblin Chainwhirler 2 Heart of Kiran 4 Inventor's Apprentice 1 Karn, Scion of Urza 1 Magma Spray 11 Mountain 3 Rekindling Phoenix 1 Scavenger Grounds 4 Scrapheap Scrounger 1 Skysovereign, Consul Flagship 2 Sorcerous Spyglass 4 Spire of Industry 1 Swamp 1 Sweltering Suns 1 Treasure Map 4 Unlicensed Disintegration 4 Walking Ballista"
"2 Abrade 1 Abrade 1 Aethersphere Harvester 2 Angrath, the Flame-Chained 1 Arguel's Blood Fast 4 Bomat Courier 2 Canyon Slough 1 Chandra's Defeat 1 Chandra, Torch of Defiance 2 Cut/Ribbons 2 Dire Fleet Daredevil 2 Doomfall 4 Dragonskull Summit 1 Glorybringer 1 Goblin Chainwhirler 2 Goblin Chainwhirler 2 Heart of Kiran 1 Hour of Glory 1 Ifnir Deadlands 4 Inventor's Apprentice 3 Karn, Scion of Urza 1 Magma Spray 13 Mountain 3 Pia Nalaar 3 Rekindling Phoenix 1 Scavenger Grounds 4 Scrapheap Scrounger 3 Swamp 4 Unlicensed Disintegration 3 Walking Ballista"
"4 Abrade 2 Aethersphere Harvester 1 Angrath, the Flame-Chained 2 Arguel's Blood Fast 4 Bomat Courier 4 Canyon Slough 3 Chandra, Torch of Defiance 3 Doomfall 4 Dragonskull Summit 2 Duress 1 Field of Ruin 2 Glorybringer 3 Goblin Chainwhirler 2 Heart of Kiran 1 Ifnir Deadlands 4 Inventor's Apprentice 2 Magma Spray 12 Mountain 2 Pia Nalaar 4 Rekindling Phoenix 1 Scavenger Grounds 4 Scrapheap Scrounger 2 Swamp 2 Sweltering Suns 4 Unlicensed Disintegration"
"4 Aether Hub 1 Aethersphere Harvester 1 Arguel's Blood Fast 1 Arguel's Blood Fast 2 Cast Down 3 Champion of Wits 2 Deadeye Tracker 2 Doomfall 4 Drowned Catacomb 3 Duress 4 Fatal Push 4 Fetid Pools 2 Field of Ruin 2 Forsake the Worldly 4 Gifted Aetherborn 4 Glint-Sleeve Siphoner 3 Irrigated Farmland 2 Island 2 Karn, Scion of Urza 1 Liliana, Death's Majesty 3 Negate 3 Ravenous Chupacabra 7 Swamp 2 Teferi, Hero of Dominaria 3 The Scarab God 2 Vraska's Contempt 2 Vraska's Contempt 2 Walking Ballista"
"2 Arguel's Blood Fast 1 Bontu's Last Reckoning 4 Cabal Stronghold 3 Cast Down 1 Crook of Condemnation 2 Demonlord Belzenlok 4 Dread Shade 4 Duress 4 Fatal Push 1 Field of Ruin 4 Gifted Aetherborn 2 Josu Vess, Lich Knight 4 Karn, Scion of Urza 4 Knight of Malice 2 Lost Legacy 3 Never/Return 1 Noxious Gearhulk 20 Swamp 4 Vraska's Contempt 4 Walking Ballista 1 Yahenni's Expertise"
