"1 Abrupt Decay 1 Abrupt Decay 1 Badlands 4 Baleful Strix 1 Bayou 1 Bloodstained Mire 1 Blue Elemental Blast 4 Brainstorm 4 Deathrite Shaman 1 Diabolic Edict 1 Diabolic Edict 2 Fatal Push 2 Flusterstorm 4 Force of Will 1 Golgari Charm 2 Hymn to Tourach 1 Hymn to Tourach 1 Island 2 Jace, the Mind Sculptor 2 Kolaghan's Command 2 Leovold, Emissary of Trest 2 Lightning Bolt 1 Liliana, the Last Hope 1 Marsh Casualties 1 Misty Rainforest 4 Polluted Delta 4 Ponder 2 Red Elemental Blast 4 Scalding Tarn 3 Snapcaster Mage 3 Surgical Extraction 1 Swamp 1 Sylvan Library 2 Thoughtseize 1 Toxic Deluge 1 Tropical Island 3 Underground Sea 2 Volcanic Island"
"3 Abrupt Decay 2 Bayou 1 Birchlore Rangers 2 Cabal Therapy 1 Choke 2 Craterhoof Behemoth 4 Deathrite Shaman 2 Dryad Arbor 4 Elvish Visionary 3 Forest 4 Gaea's Cradle 4 Glimpse of Nature 4 Green Sun's Zenith 4 Heritage Druid 4 Misty Rainforest 3 Natural Order 4 Nettle Sentinel 1 Nissa, Vital Force 1 Pendelhaven 1 Progenitus 4 Quirion Ranger 1 Reclamation Sage 1 Scavenging Ooze 1 Steel Leaf Champion 1 Steel Leaf Champion 2 Surgical Extraction 3 Thoughtseize 4 Verdant Catacombs 4 Wirewood Symbiote"
"4 Aether Vial 2 Containment Priest 2 Council's Judgment 2 Ethersworn Canonist 4 Flickerwisp 1 Gideon, Ally of Zendikar 1 Hallowed Spiritkeeper 1 Horizon Canopy 3 Karakas 1 Kjeldoran Outpost 3 Mirran Crusader 4 Mother of Runes 2 Path to Exile 2 Phyrexian Revoker 11 Plains 2 Recruiter of the Guard 2 Rest in Peace 4 Rishadan Port 2 Sanctum Prelate 2 Serra Avenger 2 Spirit of the Labyrinth 3 Stoneforge Mystic 1 Sword of Fire and Ice 1 Sword of War and Peace 4 Swords to Plowshares 4 Thalia, Guardian of Thraben 1 Umezawa's Jitte 4 Wasteland 2 Winter Orb"
"3 Abrupt Decay 3 Bayou 1 Bojuka Bog 4 Crop Rotation 2 Damping Sphere 4 Dark Depths 4 Duress 4 Elvish Spirit Guide 3 Expedition Map 1 Forest 1 Ghost Quarter 1 Karakas 4 Lotus Petal 2 Mindbreak Trap 1 Pernicious Deed 3 Pithing Needle 2 Rite of Consumption 1 Sejiri Steppe 2 Surgical Extraction 1 Swamp 3 Sylvan Safekeeper 4 Sylvan Scrying 4 Thespian's Stage 4 Thoughtseize 2 Toxic Deluge 3 Urborg, Tomb of Yawgmoth 4 Vampire Hexmage 4 Verdant Catacombs"
"1 Abrupt Decay 1 Ad Nauseam 1 Bayou 4 Brainstorm 4 Cabal Ritual 3 Cabal Therapy 2 Chain of Vapor 1 Dark Petition 4 Dark Ritual 3 Duress 2 Echoing Truth 1 Empty the Warrens 2 Fatal Push 2 Flusterstorm 4 Gitaxian Probe 2 Ground Seal 2 Hurkyl's Recall 4 Infernal Tutor 1 Island 4 Lion's Eye Diamond 4 Lotus Petal 1 Past in Flames 4 Polluted Delta 4 Ponder 2 Preordain 4 Scalding Tarn 1 Swamp 1 Tendrils of Agony 1 Tropical Island 2 Underground Sea 1 Volcanic Island 2 Xantid Swarm"
"2 Abrupt Decay 1 Bayou 1 Bloodstained Mire 4 Brainstorm 2 Cabal Ritual 3 Cabal Therapy 1 Carpet of Flowers 1 Chain of Vapor 2 Collective Brutality 2 Corpse Dance 4 Dark Ritual 1 Empty the Warrens 4 Entomb 1 Flusterstorm 4 Gitaxian Probe 3 Griselbrand 1 Hurkyl's Recall 1 Island 3 Lion's Eye Diamond 4 Lotus Petal 1 Magus of the Mind 1 Massacre 1 Mastermind's Acquisition 2 Misty Rainforest 1 Past in Flames 4 Polluted Delta 3 Ponder 4 Shallow Grave 3 Silent Gravestone 1 Swamp 1 Tendrils of Agony 1 Thoughtseize 1 Tropical Island 2 Underground Sea 1 Verdant Catacombs 1 Volcanic Island 2 Xantid Swarm"
"4 Brainstorm 1 Containment Priest 3 Counterspell 1 Disenchant 1 Entreat the Angels 1 Ethersworn Canonist 4 Flooded Strand 3 Flusterstorm 4 Force of Will 5 Island 3 Jace, the Mind Sculptor 1 Misty Rainforest 3 Monastery Mentor 1 Path to Exile 2 Plains 2 Polluted Delta 4 Ponder 4 Portent 2 Predict 3 Scalding Tarn 2 Search for Azcanta 3 Snapcaster Mage 1 Supreme Verdict 2 Surgical Extraction 4 Swords to Plowshares 1 Teferi, Hero of Dominaria 4 Terminus 3 Tundra 2 Unexpectedly Absent 1 Vendilion Clique"
"1 Arid Mesa 2 Blood Moon 4 Brainstorm 2 Containment Priest 1 Council's Judgment 2 Counterbalance 2 Counterspell 2 Disenchant 1 Engineered Explosives 4 Flooded Strand 1 Flusterstorm 1 Flusterstorm 4 Force of Will 4 Island 3 Jace, the Mind Sculptor 2 Monastery Mentor 2 Plains 4 Polluted Delta 4 Ponder 3 Portent 2 Predict 2 Pyroblast 1 Red Elemental Blast 1 Search for Azcanta 3 Snapcaster Mage 1 Supreme Verdict 3 Surgical Extraction 4 Swords to Plowshares 4 Terminus 3 Tundra 2 Volcanic Island"
"1 Abrade 1 Ancient Grudge 1 Bitterblossom 4 Brainstorm 3 Cabal Therapy 4 Daze 4 Deathrite Shaman 4 Delver of Secrets 2 Diabolic Edict 2 Flooded Strand 4 Force of Will 1 Forked Bolt 4 Gitaxian Probe 1 Grim Lavamancer 2 Gurmag Angler 1 Izzet Staticaster 4 Lightning Bolt 2 Misty Rainforest 1 Pithing Needle 2 Polluted Delta 4 Ponder 2 Pyroblast 2 Scalding Tarn 2 Spell Pierce 2 Surgical Extraction 1 Tropical Island 2 True-Name Nemesis 2 Underground Sea 3 Volcanic Island 4 Wasteland 3 Young Pyromancer"
"1 Academy Ruins 4 Ancient Tomb 4 Baleful Strix 4 Chalice of the Void 2 City of Traitors 1 Collective Brutality 3 Dimir Signet 1 Engineered Explosives 1 Engineered Plague 2 Ensnaring Bridge 2 Flooded Strand 1 Flusterstorm 3 Force of Will 1 Helm of Obedience 1 Inventors' Fair 3 Island 2 Karn, Scion of Urza 4 Leyline of the Void 2 Lodestone Golem 3 Mox Diamond 1 Padeem, Consul of Innovation 4 Polluted Delta 1 Search for Azcanta 1 Seat of the Synod 2 Sorcerous Spyglass 3 Swamp 2 Sword of the Meek 1 Talisman of Dominance 4 Tezzeret, Agent of Bolas 1 Thirst for Knowledge 3 Thopter Foundry 1 Toxic Deluge 1 Toxic Deluge 2 Transmute Artifact 1 Trinisphere 2 Underground Sea"
"2 Back to Basics 4 Baleful Strix 1 Bloodstained Mire 4 Brainstorm 1 Chill 1 Collective Brutality 1 Contraband Kingpin 4 Deathrite Shaman 2 Duress 1 Engineered Explosives 2 Ensnaring Bridge 3 Fatal Push 1 Flooded Strand 2 Flusterstorm 4 Force of Will 1 Hydroblast 6 Island 2 Jace, the Mind Sculptor 2 Karn, Scion of Urza 1 Marsh Casualties 1 Marsh Flats 2 Misty Rainforest 1 Nihil Spellbomb 4 Polluted Delta 4 Ponder 1 Search for Azcanta 2 Snapcaster Mage 1 Spellskite 1 Surgical Extraction 2 Swamp 2 Sword of the Meek 3 Thopter Foundry 3 Thoughtseize 1 Toxic Deluge 2 Underground Sea"
